PUBLIC SATURATION 2026-05-28T01:59:54Z
opponent=vladimir base=342
hero=/Users/farhad/Code/PokerBot/submissions/v_final.zip sha256=e4b4a8f11f801ecef2eca53629241e83cc9bace8ec74004f19368375f22d9598
opponent_zip=/Users/farhad/Code/PokerBot/consult/artifacts/2026-05-28-public-saturation/opponent_zips/vladimir.zip sha256=7264dbca80ebcbad755c19b9d84ab054658299090d582a5ca0fcd7fe30de7473
claimed_zip=/Users/farhad/Code/PokerBot/ext/public-bots/vladimir/bots/vlad.zip root_bot_py=False
target_scheduled_hands=100000 match_len=500 seed_stride=1000
seed schedule: seed = base + k * seed_stride; each seed runs two seat orientations

seed=55342 o=1 hands=  48/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +208.33 hero_err=0 opp_err=0 dur=1.75s
seed=56342 o=0 hands=   9/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual=-1111.11 hero_err=0 opp_err=0 dur=0.58s
seed=56342 o=1 hands=  24/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +416.67 hero_err=0 opp_err=0 dur=1.28s
seed=57342 o=0 hands=  18/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -555.56 hero_err=0 opp_err=0 dur=1.12s
seed=57342 o=1 hands=  50/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +200.00 hero_err=0 opp_err=0 dur=2.06s
seed=58342 o=0 hands=  50/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +200.00 hero_err=0 opp_err=0 dur=1.14s
seed=58342 o=1 hands=  12/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +833.33 hero_err=0 opp_err=0 dur=0.81s
seed=59342 o=0 hands=  21/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +476.19 hero_err=0 opp_err=0 dur=0.94s
seed=59342 o=1 hands=  13/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -769.23 hero_err=0 opp_err=0 dur=0.71s
seed=60342 o=0 hands=  59/500 hero_chip= +10000 hero_bb100_sched=  +20.00 hero_bb100_actual= +169.49 hero_err=0 opp_err=0 dur=2.42s
seed=60342 o=1 hands=  31/500 hero_chip= -10000 hero_bb100_sched=  -20.00 hero_bb100_actual= -322.58 hero_err=0 opp_err=0 dur=1.67s
